Date,Open,High,Low,Close,Volume
2015-01-05,395.75,406.75,394.5,406.0,140391
2015-01-06,405.5,409.5,402.25,405.0,138314
2015-01-07,404.75,407.25,396.0,396.25,131694
2015-01-08,396.5,398.75,392.75,394.25,118969
2015-01-09,394.75,401.5,393.0,400.25,154553
2015-01-12,399.0,407.0,390.0,402.0,269589
2015-01-13,402.0,406.5,384.5,385.75,250523
2015-01-14,386.0,386.25,376.0,381.0,236408
2015-01-15,382.75,388.0,376.0,380.0,189766
2015-01-16,380.5,388.0,379.5,387.0,142829
2015-01-20,385.25,391.0,382.25,390.25,138122
2015-01-21,390.0,392.5,386.25,388.0,114626
2015-01-22,387.75,390.5,382.5,383.75,139782
2015-01-23,384.0,388.5,382.0,386.75,169566
2015-01-26,385.75,388.25,382.25,384.0,102852
2015-01-27,383.5,386.0,380.0,381.25,108698
2015-01-28,380.75,381.5,373.0,373.25,167615
2015-01-29,373.5,373.5,368.0,371.5,192836
2015-01-30,372.75,373.0,365.75,370.0,194631
2015-02-02,369.75,378.5,367.5,369.75,154763
2015-02-03,370.0,388.5,370.0,385.75,238534
2015-02-04,385.0,388.25,379.5,383.5,178698
2015-02-05,382.5,387.5,381.5,385.25,136397
2015-02-06,385.0,389.5,380.0,385.75,202343
2015-02-09,385.25,391.75,383.5,391.25,217638
2015-02-10,390.75,391.5,384.5,388.0,209348
2015-02-11,388.0,389.75,384.0,385.75,178879
2015-02-12,385.25,387.75,381.25,383.0,169376
2015-02-13,383.0,388.5,382.25,387.25,167269
2015-02-17,387.0,391.0,385.0,389.5,164635
2015-02-18,389.0,390.5,383.0,383.75,162322
2015-02-19,383.75,391.25,382.25,389.75,176132
2015-02-20,389.0,389.5,383.5,385.25,131258
2015-02-23,385.25,386.0,377.5,378.75,142798
2015-02-24,379.0,387.0,377.5,377.5,207228
2015-02-25,378.0,379.5,371.5,375.75,115836
2015-02-26,376.0,382.25,375.0,380.0,95565
2015-02-27,379.0,387.25,377.0,384.5,35368
2015-03-02,383.0,385.5,377.5,378.75,16974
2015-03-03,379.0,382.75,375.75,382.0,13906
2015-03-04,382.0,382.25,378.0,381.5,10629
2015-03-05,381.25,384.75,380.0,382.75,6365
2015-03-06,381.0,382.5,376.5,379.25,4631
2015-03-09,379.25,384.75,379.25,383.25,1898
2015-03-10,383.0,384.5,377.0,382.25,4126
2015-03-11,382.25,387.75,381.5,384.0,1609
2015-03-12,384.0,384.75,380.0,382.25,1241
2015-03-13,383.25,383.75,374.0,374.0,155266
2015-03-16,380.75,382.25,375.5,379.0,145231
2015-03-17,379.0,379.75,370.0,371.0,175673
2015-03-18,371.5,375.25,367.0,374.75,146488
2015-03-19,377.5,380.5,370.5,373.5,152285
2015-03-20,373.5,387.5,372.75,385.0,211230
2015-03-23,385.0,391.75,385.0,390.25,160884
2015-03-24,389.25,393.75,388.5,393.25,135276
2015-03-25,392.75,395.75,391.5,395.0,150274
2015-03-26,394.0,397.0,389.25,391.25,156056
2015-03-27,391.0,393.5,389.25,391.0,136749
2015-03-30,391.5,395.0,390.0,394.5,175824
2015-03-31,394.0,398.5,375.5,376.25,349246
2015-04-01,377.0,382.25,374.0,381.75,221060
2015-04-02,381.75,388.5,378.25,386.5,177882
2015-04-06,386.25,390.0,383.5,385.0,84776
2015-04-07,385.0,387.25,382.0,383.0,99163
2015-04-08,383.25,385.0,376.75,379.25,214355
2015-04-09,379.0,380.0,375.0,378.0,198132
2015-04-10,378.25,379.5,374.25,377.0,196231
2015-04-13,375.0,376.0,370.25,370.5,184709
2015-04-14,371.0,374.75,370.0,373.5,173032
2015-04-15,372.75,379.0,370.5,376.0,220497
2015-04-16,375.75,377.75,373.0,376.25,122447
2015-04-17,376.25,380.75,375.0,379.75,152395
2015-04-20,379.5,381.75,375.75,378.0,133450
2015-04-21,377.0,377.0,371.25,373.0,179367
2015-04-22,373.0,374.0,369.25,372.5,141185
2015-04-23,372.5,378.0,370.25,370.75,191785
2015-04-24,371.0,371.25,363.75,364.5,145306
2015-04-27,363.75,365.25,360.5,360.75,139207
2015-04-28,360.5,363.5,359.0,361.0,116765
2015-04-29,361.0,364.5,359.5,363.75,79151
2015-04-30,364.25,367.75,360.0,362.5,19353
2015-05-01,362.5,363.0,357.5,359.75,6089
2015-05-04,359.0,360.75,356.75,358.75,3335
2015-05-05,357.75,361.75,354.0,361.25,4250
2015-05-06,361.75,369.0,361.75,366.5,2990
2015-05-07,365.5,366.25,357.25,357.75,3293
2015-05-08,357.75,359.0,356.5,358.5,1210
2015-05-11,359.0,361.0,357.0,358.25,636
2015-05-12,358.25,362.0,355.25,357.0,406
2015-05-13,356.25,359.0,352.75,356.0,579
2015-05-14,356.75,363.75,356.0,361.0,198520
2015-05-15,367.75,371.5,362.0,365.5,171130
2015-05-18,365.25,371.25,364.0,368.0,155820
2015-05-19,367.25,368.5,360.25,362.0,175468
2015-05-20,362.25,362.5,358.5,360.0,152947
2015-05-21,360.0,366.5,359.75,365.0,170412
2015-05-22,364.0,367.75,359.75,360.0,155675
2015-05-26,361.0,362.5,354.0,355.0,172180
2015-05-27,355.0,356.5,348.75,349.5,180699
2015-05-28,349.5,355.0,348.25,353.5,163613
2015-05-29,353.25,357.0,350.0,351.5,141539
2015-06-01,350.5,354.25,348.25,352.25,140812
2015-06-02,352.0,359.5,351.75,359.0,180406
2015-06-03,359.0,364.0,357.0,359.0,222940
2015-06-04,358.5,364.5,356.5,363.5,146468
2015-06-05,362.75,367.25,359.75,360.5,209282
2015-06-08,360.5,366.25,360.5,365.25,174596
2015-06-09,364.75,368.5,362.5,365.0,230801
